Date,log_return,ret_1,ret_2,ret_3,ret_4,ret_5,ret_6,ret_7,ret_8,ret_9,ret_10,ret_11,ret_12,ret_13,ret_14,ma_7,ma_21,ema_12,ema_26,rsi_14,vol_7,vol_21,atr_14,day_of_week,month,y_h1,y_h3,y_h7,split
2018-10-16,-6.521446177742973e-05,0.047436333605533676,0.0007855566385384094,0.0018168218647272028,0.0029271598167834867,-0.05129538214462315,-0.008634710127935818,-0.0014426384505714651,0.007435585416514456,0.002219673093835084,-0.005173043848845538,0.006938348855323184,0.011331035300969461,-0.008195393817457486,-0.005099772645628775,6412.274344308035,6536.330031622024,6486.927424223064,6524.797760396097,51.98419809241898,0.028755902754453132,0.017645026315766473,146.91357421875,1,10,-0.007865727557092583,-0.02001360781808792,-0.018417137642373405,train
2018-10-17,-0.007865727557092583,-6.521446177742973e-05,0.047436333605533676,0.0007855566385384094,0.0018168218647272028,0.0029271598167834867,-0.05129538214462315,-0.008634710127935818,-0.0014426384505714651,0.007435585416514456,0.002219673093835084,-0.005173043848845538,0.006938348855323184,0.011331035300969461,-0.008195393817457486,6406.402971540178,6538.683849516369,6495.774001385862,6526.2520133875905,52.0787554007273,0.028723344356927815,0.017684594868001047,144.508544921875,2,10,-0.01040167369568934,-0.008476626546354282,-0.007452385087516333,train
2018-10-18,-0.01040167369568934,-0.007865727557092583,-6.521446177742973e-05,0.047436333605533676,0.0007855566385384094,0.0018168218647272028,0.0029271598167834867,-0.05129538214462315,-0.008634710127935818,-0.0014426384505714651,0.007435585416514456,0.002219673093835084,-0.005173043848845538,0.006938348855323184,0.011331035300969461,6437.898646763393,6529.158133370535,6492.841072086114,6522.58223172462,45.000998535643824,0.01941395079794123,0.01667345259800062,145.37283761160714,3,10,-0.0017462065653059966,0.0008704546547946279,-6.483777891475029e-05,train
2018-10-19,-0.0017462065653059966,-0.01040167369568934,-0.007865727557092583,-6.521446177742973e-05,0.047436333605533676,0.0007855566385384094,0.0018168218647272028,0.0029271598167834867,-0.05129538214462315,-0.008634710127935818,-0.0014426384505714651,0.007435585416514456,0.002219673093835084,-0.005173043848845538,0.006938348855323184,6465.160086495535,6520.647670200893,6488.62093118825,6518.347263170945,41.86595986675183,0.019574702236506626,0.016655029110184114,144.09856305803572,4,10,0.003671253714641054,0.003358409940000584,0.0014435440147728684,train
2018-10-20,0.003671253714641054,-0.0017462065653059966,-0.01040167369568934,-0.007865727557092583,-6.521446177742973e-05,0.047436333605533676,0.0007855566385384094,0.0018168218647272028,0.0029271598167834867,-0.05129538214462315,-0.008634710127935818,-0.0014426384505714651,0.007435585416514456,0.002219673093835084,-0.005173043848845538,6494.188616071428,6515.277669270833,6488.708471221788,6516.187461558745,44.81111240621568,0.019548341429421624,0.016646331701618403,143.95427594866072,5,10,-0.0010545924945404295,-0.002074783538926539,-0.0013585739647847817,train
2018-10-21,-0.0010545924945404295,0.003671253714641054,-0.0017462065653059966,-0.01040167369568934,-0.007865727557092583,-6.521446177742973e-05,0.047436333605533676,0.0007855566385384094,0.0018168218647272028,0.0029271598167834867,-0.05129538214462315,-0.008634710127935818,-0.0014426384505714651,0.007435585416514456,0.002219673093835084,6521.534319196428,6508.458147321428,6487.730259904014,6513.68099015856,43.63466176384935,0.01961956440811433,0.01661593079813091,143.66353934151786,6,10,0.0007417487198999595,0.0020788339533783784,0.0006230426579865167,train
2018-10-22,0.0007417487198999595,-0.0010545924945404295,0.003671253714641054,-0.0017462065653059966,-0.01040167369568934,-0.007865727557092583,-6.521446177742973e-05,0.047436333605533676,0.0007855566385384094,0.0018168218647272028,0.0029271598167834867,-0.05129538214462315,-0.008634710127935818,-0.0014426384505714651,0.007435585416514456,6505.908621651785,6503.5791015625,6487.64255164955,6511.716483943112,40.858393702661125,0.004971913652083426,0.016588840305619242,142.363525390625,0,10,-0.001761939764286069,-0.0016770411536093377,-0.02410924953222704,train
2018-10-23,-0.001761939764286069,0.0007417487198999595,-0.0010545924945404295,0.003671253714641054,-0.0017462065653059966,-0.01040167369568934,-0.007865727557092583,-6.521446177742973e-05,0.047436333605533676,0.0007855566385384094,0.0018168218647272028,0.0029271598167834867,-0.05129538214462315,-0.008634710127935818,-0.0014426384505714651,6488.712960379465,6499.75244140625,6485.811425915004,6509.051576567696,40.77574114183906,0.004880279428973245,0.016561008814887302,142.38277762276786,1,10,0.003099024997764488,-0.00015292616094164657,-0.022088345579296842,train
2018-10-24,0.003099024997764488,-0.001761939764286069,0.0007417487198999595,-0.0010545924945404295,0.003671253714641054,-0.0017462065653059966,-0.01040167369568934,-0.007865727557092583,-6.521446177742973e-05,0.047436333605533676,0.0007855566385384094,0.0018168218647272028,0.0029271598167834867,-0.05129538214462315,-0.008634710127935818,6481.771484375,6499.431012834822,6487.354259428081,6508.072929692312,44.83155457136667,0.004675448192903764,0.0164847981064126,138.77207728794642,2,10,-0.0030141263870877566,-0.0023828154236227306,-0.027820997521653013,train
2018-10-25,-0.0030141263870877566,0.003099024997764488,-0.001761939764286069,0.0007417487198999595,-0.0010545924945404295,0.003671253714641054,-0.0017462065653059966,-0.01040167369568934,-0.007865727557092583,-6.521446177742973e-05,0.047436333605533676,0.0007855566385384094,0.0018168218647272028,0.0029271598167834867,-0.05129538214462315,6481.711495535715,6494.650065104167,6485.652071679529,6505.71864149751,69.72024385675954,0.0025814221753272964,0.01628564678359747,118.38779994419643,3,10,-0.0002378247716183779,0.001558335091695895,-0.015327780838218175,train
2018-10-26,-0.0002378247716183779,-0.0030141263870877566,0.003099024997764488,-0.001761939764286069,0.0007417487198999595,-0.0010545924945404295,0.003671253714641054,-0.0017462065653059966,-0.01040167369568934,-0.007865727557092583,-6.521446177742973e-05,0.047436333605533676,0.0007855566385384094,0.0018168218647272028,0.0029271598167834867,6483.045758928572,6487.615304129465,6483.974829882679,6503.424668053251,68.49558576182605,0.0024729428496146773,0.016191657559954116,115.29139927455357,4,10,0.0008691357350834039,-0.022194383606999324,-0.013419898844336586,train
2018-10-27,0.0008691357350834039,-0.0002378247716183779,-0.0030141263870877566,0.003099024997764488,-0.001761939764286069,0.0007417487198999595,-0.0010545924945404295,0.003671253714641054,-0.0017462065653059966,-0.01040167369568934,-0.007865727557092583,-6.521446177742973e-05,0.047436333605533676,0.0007855566385384094,0.0018168218647272028,6481.787179129465,6482.475771949405,6483.4217611026515,6501.717646924306,68.15542587792345,0.002000166028223312,0.01616884974534855,115.66144670758929,5,10,0.0009270241282308689,-0.0228045551534386,-0.018552698443057736,train
2018-10-28,0.0009270241282308689,0.0008691357350834039,-0.0002378247716183779,-0.0030141263870877566,0.003099024997764488,-0.001761939764286069,0.0007417487198999595,-0.0010545924945404295,0.003671253714641054,-0.0017462065653059966,-0.01040167369568934,-0.007865727557092583,-6.521446177742973e-05,0.047436333605533676,0.0007855566385384094,6482.364327566965,6476.92529296875,6483.878434274359,6500.582275797968,68.21896510605451,0.0019983081760808815,0.016159290529572986,113.61213030133929,6,10,-0.023990543470313597,-0.02636520622626115,-0.01714484480535816,train
2018-10-29,-0.023990543470313597,0.0009270241282308689,0.0008691357350834039,-0.0002378247716183779,-0.0030141263870877566,0.003099024997764488,-0.001761939764286069,0.0007417487198999595,-0.0010545924945404295,0.003671253714641054,-0.0017462065653059966,-0.01040167369568934,-0.007865727557092583,-6.521446177742973e-05,0.047436333605533676,6460.28857421875,6461.706240699405,6460.6094263571495,6488.141357799044,15.687571578394056,0.00927338749531364,0.01679639415807654,77.19998604910714,0,10,0.0002589641886441285,0.007104427540399527,0.013649567942596974,train
2018-10-30,0.0002589641886441285,-0.023990543470313597,0.0009270241282308689,0.0008691357350834039,-0.0002378247716183779,-0.0030141263870877566,0.003099024997764488,-0.001761939764286069,0.0007417487198999595,-0.0010545924945404295,0.003671253714641054,-0.0017462065653059966,-0.01040167369568934,-0.007865727557092583,-6.521446177742973e-05,6440.078543526785,6447.0219494047615,6441.17259453778,6476.743480890319,16.06351794004628,0.009365488030922737,0.0168050650915374,73.81644112723214,1,10,-0.0026336269445916827,0.008515520574018609,0.01981103866431866,train
2018-10-31,-0.0026336269445916827,0.0002589641886441285,-0.023990543470313597,0.0009270241282308689,0.0008691357350834039,-0.0002378247716183779,-0.0030141263870877566,0.003099024997764488,-0.001761939764286069,0.0007417487198999595,-0.0010545924945404295,0.003671253714641054,-0.0017462065653059966,-0.01040167369568934,-0.007865727557092583,6414.617117745535,6434.263857886905,6422.162943575237,6464.95580551187,17.667284744611294,0.008969698628431466,0.016742214363390368,70.13933454241071,2,10,0.009479090296347081,0.006885483654972546,0.0330874530663845,train
2018-11-01,0.009479090296347081,-0.0026336269445916827,0.0002589641886441285,-0.023990543470313597,0.0009270241282308689,0.0008691357350834039,-0.0002378247716183779,-0.0030141263870877566,0.003099024997764488,-0.001761939764286069,0.0007417487198999595,-0.0010545924945404295,0.003671253714641054,-0.0017462065653059966,-0.01040167369568934,6400.544224330357,6440.051455543155,6415.334765356931,6458.498322522565,35.587493402267484,0.010332075724727689,0.01250837474187329,78.55433872767857,3,11,0.0016700572222632104,-0.00025872887544409195,0.011836701295623087,train
2018-11-02,0.0016700572222632104,0.009479090296347081,-0.0026336269445916827,0.0002589641886441285,-0.023990543470313597,0.0009270241282308689,0.0008691357350834039,-0.0002378247716183779,-0.0030141263870877566,0.003099024997764488,-0.001761939764286069,0.0007417487198999595,-0.0010545924945404295,0.003671253714641054,-0.0017462065653059966,6388.214215959822,6445.473353794643,6411.197100133749,6453.308812810245,38.765762568363265,0.01041696192661276,0.012501275764234881,80.06218610491071,4,11,-0.0042636638636377455,0.0048750831799342365,-0.0004414922509550223,train
2018-11-03,-0.0042636638636377455,0.0016700572222632104,0.009479090296347081,-0.0026336269445916827,0.0002589641886441285,-0.023990543470313597,0.0009270241282308689,0.0008691357350834039,-0.0002378247716183779,-0.0030141263870877566,0.003099024997764488,-0.001761939764286069,0.0007417487198999595,-0.0010545924945404295,0.003671253714641054,6371.197056361607,6449.0576171875,6403.514433286249,6446.490364870598,31.511388799896125,0.010368685819936068,0.012548245836627621,80.70357840401786,5,11,0.002334877765930443,0.015559181953937795,0.007511178088392967,train
2018-11-04,0.002334877765930443,-0.0042636638636377455,0.0016700572222632104,0.009479090296347081,-0.0026336269445916827,0.0002589641886441285,-0.023990543470313597,0.0009270241282308689,0.0008691357350834039,-0.0002378247716183779,-0.0030141263870877566,0.003099024997764488,-0.001761939764286069,0.0007417487198999595,-0.0010545924945404295,6355.445591517857,6453.11474609375,6399.301425521056,6441.278477310739,34.997165489873694,0.010462868581228706,0.012554149462822971,81.68073381696429,6,11,0.006803869277641539,0.02386709164548151,0.005496070419782839,train
2018-11-05,0.006803869277641539,0.002334877765930443,-0.0042636638636377455,0.0016700572222632104,0.009479090296347081,-0.0026336269445916827,0.0002589641886441285,-0.023990543470313597,0.0009270241282308689,0.0008691357350834039,-0.0002378247716183779,-0.0030141263870877566,0.003099024997764488,-0.001761939764286069,0.0007417487198999595,6367.878487723215,6444.69189453125,6402.433537940894,6439.677120195129,41.406106240022275,0.004881130387772929,0.006788441568021127,84.26286969866071,0,11,0.006420434910365813,0.00529156089342564,-0.007566356303064126,train
2018-11-06,0.006420434910365813,0.006803869277641539,0.002334877765930443,-0.0042636638636377455,0.0016700572222632104,0.009479090296347081,-0.0026336269445916827,0.0002589641886441285,-0.023990543470313597,0.0009270241282308689,0.0008691357350834039,-0.0002378247716183779,-0.0030141263870877566,0.003099024997764488,-0.001761939764286069,6385.984165736607,6438.258556547619,6411.4452652769105,6441.257316152896,48.257369556879254,0.005076993223856695,0.006991645385005193,84.30929129464286,1,11,0.010642787457474157,-0.011737010341255072,-0.015837393735697702,train
2018-11-07,0.010642787457474157,0.006420434910365813,0.006803869277641539,0.002334877765930443,-0.0042636638636377455,0.0016700572222632104,0.009479090296347081,-0.0026336269445916827,0.0002589641886441285,-0.023990543470313597,0.0009270241282308689,0.0008691357350834039,-0.0002378247716183779,-0.0030141263870877566,0.003099024997764488,6416.345633370535,6437.578078497024,6429.7060147295015,6447.841228787403,53.63596179307932,0.005174604582556946,0.0072430213176520675,87.02500697544643,2,11,-0.01177166147441433,-0.018690791323018985,-0.12925667392490858,train
2018-11-08,-0.01177166147441433,0.010642787457474157,0.006420434910365813,0.006803869277641539,0.002334877765930443,-0.0042636638636377455,0.0016700572222632104,0.009479090296347081,-0.0026336269445916827,0.0002589641886441285,-0.023990543470313597,0.0009270241282308689,0.0008691357350834039,-0.0002378247716183779,-0.0030141263870877566,6427.194266183035,6436.483328683035,6433.400507054771,6448.276709236022,47.86493519930752,0.007591220569115098,0.00734584838716687,89.93715122767857,3,11,-0.010608136324314899,-0.006599359751284339,-0.1333499682777699,train
2018-11-09,-0.010608136324314899,-0.01177166147441433,0.010642787457474157,0.006420434910365813,0.006803869277641539,0.002334877765930443,-0.0042636638636377455,0.0016700572222632104,0.009479090296347081,-0.0026336269445916827,0.0002589641886441285,-0.023990543470313597,0.0009270241282308689,0.0008691357350834039,-0.0002378247716183779,6426.791434151785,6432.683803013393,6426.049677844421,6443.63548019539,42.51149502620637,0.008902160367570517,0.007687562078783202,92.39498465401786,4,11,0.0036890064757102436,-0.002249780872174867,-0.13565767354784342,train
2018-11-10,0.0036890064757102436,-0.010608136324314899,-0.01177166147441433,0.010642787457474157,0.006420434910365813,0.006803869277641539,0.002334877765930443,-0.0042636638636377455,0.0016700572222632104,0.009479090296347081,-0.0026336269445916827,0.0002589641886441285,-0.023990543470313597,0.0009270241282308689,0.0008691357350834039,6433.642926897322,6428.875720796131,6423.460529690471,6441.086201280454,44.19655763700122,0.008783401527610812,0.007688055214344014,92.25851004464286,5,11,0.00031977009732031547,-0.007789389870152874,-0.14315979436025295,train
