Date,log_return,ret_1,ret_2,ret_3,ret_4,ret_5,ret_6,ret_7,ret_8,ret_9,ret_10,ret_11,ret_12,ret_13,ret_14,ma_7,ma_21,ema_12,ema_26,rsi_14,vol_7,vol_21,atr_14,day_of_week,month,y_h1,y_h3,y_h7,split
2005-02-01,-0.017955682375842663,-0.003219859956864246,0.0008614561962190237,0.008076155193895374,-0.0008684385875354916,-0.009503308830789092,-0.006000849049097257,0.0028530662653856176,0.00257475840240462,-0.0006872916552971287,0.0009737628013335442,-0.01196256215544711,-0.011261369387489117,-0.0078081484812475566,-0.0013879570566439625,1.7319142988749914,1.7673619134085519,1.7427192758964671,1.7639697180296654,18.052753541418994,0.008255101477862417,0.007311439900102901,0.030714264937809505,1,2,0.012816927786709731,-0.011202978979522604,0.004854773306464111,train
2005-02-02,0.012816927786709731,-0.017955682375842663,-0.003219859956864246,0.0008614561962190237,0.008076155193895374,-0.0008684385875354916,-0.009503308830789092,-0.006000849049097257,0.0028530662653856176,0.00257475840240462,-0.0006872916552971287,0.0009737628013335442,-0.01196256215544711,-0.011261369387489117,-0.0078081484812475566,1.7294857161385673,1.7638857194355555,1.7403778429667072,1.7612682546091736,31.237956726798814,0.010331032622683776,0.00804658232518345,0.031128551278795484,2,2,-0.006679276297658188,-0.026394469206658888,-0.01869756243189291,train
2005-02-03,-0.006679276297658188,0.012816927786709731,-0.017955682375842663,-0.003219859956864246,0.0008614561962190237,0.008076155193895374,-0.0008684385875354916,-0.009503308830789092,-0.006000849049097257,0.0028530662653856176,0.00257475840240462,-0.0006872916552971287,0.0009737628013335442,-0.01196256215544711,-0.011261369387489117,1.727771418435233,1.7588857185272944,1.7366273995717296,1.7579150476677055,33.039326928598115,0.010012021080279678,0.007500013597130148,0.030035691601889427,3,2,-0.017340630468574147,-0.010839403447242213,-0.013552977644373354,train
2005-02-04,-0.017340630468574147,-0.006679276297658188,0.012816927786709731,-0.017955682375842663,-0.003219859956864246,0.0008614561962190237,0.008076155193895374,-0.0008684385875354916,-0.009503308830789092,-0.006000849049097257,0.0028530662653856176,0.00257475840240462,-0.0006872916552971287,0.0009737628013335442,-0.01196256215544711,1.7220571211406164,1.7518857149850755,1.7289154847560724,1.75262504067528,31.23795672679887,0.011760297925175313,0.0077919282688170876,0.030149979250771612,4,2,-0.002374562440426553,0.012374953481120055,0.011789172848847396,train
2005-02-07,-0.002374562440426553,-0.017340630468574147,-0.006679276297658188,0.012816927786709731,-0.017955682375842663,-0.003219859956864246,0.0008614561962190237,0.008076155193895374,-0.0008684385875354916,-0.009503308830789092,-0.006000849049097257,0.0028530662653856176,0.00257475840240462,-0.0006872916552971287,0.0009737628013335442,1.7137714113507951,1.7453857149396623,1.7217746416810416,1.7474305935710643,29.709203007813358,0.010682124804415705,0.007745000767703813,0.030507130282265753,0,2,0.008875789461758488,0.018432314726413268,0.01825729031924428,train
2005-02-08,0.008875789461758488,-0.002374562440426553,-0.017340630468574147,-0.006679276297658188,0.012816927786709731,-0.017955682375842663,-0.003219859956864246,0.0008614561962190237,0.008076155193895374,-0.0008684385875354916,-0.009503308830789092,-0.006000849049097257,0.0028530662653856176,0.00257475840240462,-0.0006872916552971287,1.7074142694473267,1.7395285708563668,1.7180400799552284,1.7437320303778934,36.0465027629555,0.011769409475926798,0.008168628185550694,0.029049992561340283,1,2,0.00587372645978812,-0.0011788826869925106,0.004115214264055367,train
2005-02-09,0.00587372645978812,0.008875789461758488,-0.002374562440426553,-0.017340630468574147,-0.006679276297658188,0.012816927786709731,-0.017955682375842663,-0.003219859956864246,0.0008614561962190237,0.008076155193895374,-0.0008684385875354916,-0.009503308830789092,-0.006000849049097257,0.0028530662653856176,0.00257475840240462,1.7032856941223145,1.7350047599701655,1.7164185262585032,1.7410481748629765,38.02814820386626,0.012319817210101733,0.008257496678535982,0.031049992356981502,2,2,0.0036827988048666604,-0.008587300656919261,0.0,train
2005-02-10,0.0036827988048666604,0.00587372645978812,0.008875789461758488,-0.002374562440426553,-0.017340630468574147,-0.006679276297658188,0.012816927786709731,-0.017955682375842663,-0.003219859956864246,0.0008614561962190237,0.008076155193895374,-0.0008684385875354916,-0.009503308830789092,-0.006000849049097257,0.0028530662653856176,1.704471400805882,1.7308999981198991,1.7160156689049941,1.739029788092437,38.478719311732036,0.010317450548105263,0.008367451999180583,0.03146427869796748,3,2,-0.010735407951647291,-0.004268579437139319,-0.009851098109823653,train
2005-02-11,-0.010735407951647291,0.0036827988048666604,0.00587372645978812,0.008875789461758488,-0.002374562440426553,-0.017340630468574147,-0.006679276297658188,0.012816927786709731,-0.017955682375842663,-0.003219859956864246,0.0008614561962190237,0.008076155193895374,-0.0008684385875354916,-0.009503308830789092,-0.006000849049097257,1.6998999800000871,1.7265904744466145,1.7128594146446048,1.7358053605457724,36.8702852849783,0.0095140102318854,0.008486688913471265,0.03184998886925831,4,2,-0.0015346915101386305,0.010560383544478302,0.012018286134234724,train
2005-02-14,-0.0015346915101386305,-0.010735407951647291,0.0036827988048666604,0.00587372645978812,0.008875789461758488,-0.002374562440426553,-0.017340630468574147,-0.006679276297658188,0.012816927786709731,-0.017955682375842663,-0.003219859956864246,0.0008614561962190237,0.008076155193895374,-0.0008684385875354916,-0.009503308830789092,1.696599977357047,1.723109517778669,1.7097887266066767,1.7326271814237204,39.8378282486983,0.009350072408865439,0.008245242294042743,0.03054998602185926,0,2,0.008001520024646602,0.006828788461186508,0.016462491103506616,train
